Barcode_ID,Proportion of heterozygous loci
K0181810_1705,0.0120481927710843
K0191907_1511,0.125
K0202002_1512,0
K0202008_1605,0
K0212102_1512,0
K0212109_1504,0
K0212109_1506,0
K0212110_1512,0
K0212205_1603,0
K0222204_1506,0.1
K0222208_1611,0
K0222213_1612,0
K0222213_1701,0.0161290322580645
K0222213_1702,0.0833333333333333
K0222213_1705,0.111111111111111
K0222315_1511,0
K0232412_1612,0
K0232412_1701,0
K0232412_1703,0
K0232412_1704,0.0754716981132075
K0232412_1705,0
K0242508_1412,0.121951219512195
K0242508_1512,0
K0242508_1605,0.0533333333333333
K0242508_1607,0
K0242512_1607,0
K0242515_1412,0
K0252706_1506,0.111111111111111
K0252713_1512,0.0422535211267606
K0252717_1511,0
K0252717_1512,0
K0252724_1412,0.135135135135135
K0252808_1611,0.0135135135135135
K0252808_1701,0
K0252808_1702,0
K0262902_1511,0
K0262913_1611,0.0952380952380952
K0262922_1612,0
K0262922_1701,0.111111111111111
K0262922_1702,0
K0262922_1703,0
K0262922_1704,0
K0262922_1705,0
K0262932_1611,0
K0262935_1612,0
K0262935_1702,0.0754716981132075
K0262939_1412,0.1
K0262940_1511,0.0116279069767442
K0262940_1512,0
K0262940_1603,0
K0262940_1605,0
K0262940_1612,0
K0262940_1701,0.0892857142857143
K0262940_1702,0.0677966101694915
K0262940_1703,0
K0262940_1704,0.012987012987013
K0262941_1702,0.0975609756097561
K0262941_1705,0.132075471698113
K0263004_1511,0
K0263004_1512,0
K0263004_1603,0
K0263008_1612,0
K0263008_1702,0
K0263008_1703,0
K0263008_1704,0
K0263008_1705,0
K0263111_1612,0
K0263111_1705,0.0769230769230769
K0273207_1511,0
K0273207_1605,0
K0283310_1511,0
K0283406_1512,0.101123595505618
K0303507_1603,0.302631578947368
K0303507_1605,0
K0303507_1607,0
K0323702_1611,0
K0323703_1701,0
K0323703_1704,0.26530612244898
K0323719_1511,0
K0323725_1511,0
K0323730_1511,0.0606060606060606
K0344032_1512,0
K0344102_1511,0
K0344111_1511,0
K0364309_1511,0
K0364311_1511,0
K0364312_1511,0
K0364312_1607,0.0344827586206897
K0364312_1612,0
K0364314_1612,0
K0364314_1701,0
K0364319_1511,0
K0364319_1612,0
K0364324_1612,0.0612244897959184
K0364324_1701,0.0138888888888889
K0364329_1511,0
K0374406_1612,0
K0374406_1701,0
K0374406_1702,0.259259259259259
K0374406_1705,0.087719298245614
K0374408_1412,0.179775280898876
K0374413_1611,0.386363636363636
K0374502_1412,0
K0374502_1612,0.0135135135135135
K0374502_1705,0.0677966101694915
K0384601_1701,0
K0384601_1702,0
K0384602_1512,0
K0384604_1511,0
K0384611_1612,0.0377358490566038
K0384611_1701,0
K0384611_1702,0
K0394906_1611,0
K0394917_1611,0
K0394923_1610,0
K0394934_1610,0
K0394938_1611,0
K0405016_1611,0
K0415108_1701,0
K0415108_1702,0.0357142857142857
K0415109_1603,0.153846153846154
K0425208_1512,0
K0425208_1605,0.269230769230769
K0425216_1511,0
N0050505_1610,0
N0111111_1607,0
N0111112_1610,0.0681818181818182
N0111114_1611,0.0983606557377049
N0121205_1611,0
N0131303_1612,0.0392156862745098
N0131303_1701,0
N0131303_1703,0
N0131303_1705,0.0727272727272727
N0131310_1611,0
N0131318_1611,0.126436781609195
N0131318_1701,0.313725490196078
N0131323_1610,0.0512820512820513
N0141403_1612,0
P0010104_1611,0.159090909090909
P0010112_1611,0.228070175438596
P0010116_1607,0
P0010121_1607,0
P0010121_1611,0
P0010126_1611,0
P0010127_1610,0.104651162790698
P0010137_1610,0
P0020206_1607,0
P0020206_1701,0.0853658536585366
P0020206_1702,0.126436781609195
P0020206_1703,0.28735632183908
P0020206_1704,0.0338983050847458
P0020206_1705,0.0114942528735632
P0020208_1607,0
P0020213_1612,0
P0020213_1701,0
P0020213_1704,0
P0020213_1705,0
P0020214_1607,0.109090909090909
P0020214_1612,0
P0020214_1701,0
P0020215_1607,0
P0020215_1612,0
P0020215_1701,0
P0030304_1607,0.0823529411764706
P0050504_1611,0
P0050514_1611,0
P0050519_1701,0
P0050519_1703,0
P0050519_1704,0.220338983050847
P0050519_1705,0.0121951219512195
P0060606_1607,0.218181818181818
P0060609_1611,0
P0060616_1611,0.0112359550561798
P0060620_1611,0.204545454545455
P0060622_1611,0
P0060623_1607,0
P0060623_1612,0.215909090909091
P0060623_1701,0.08
P0060623_1702,0.116279069767442
P0060623_1703,0
P0060623_1704,0.0365853658536585
P0060623_1705,0.134831460674157
P0070701_1611,0
P0070705_1611,0.0779220779220779
P0070707_1610,0
P0070710_1607,0.0909090909090909
P0070711_1611,0
P0070722_1612,0
P0070722_1701,0
P0070722_1702,0
P0070724_1610,0.115384615384615
P0080805_1612,0
P0080805_1701,0
P0080805_1702,0
P0080805_1704,0
P0080805_1705,0
P0080811_1701,0
P0080811_1703,0.0943396226415094
P0080811_1704,0.111111111111111
P0080824_1607,0
P0080835_1705,0.132075471698113
P0080836_1612,0
P0080836_1701,0
P0080840_1611,0
P0080842_1607,0.0677966101694915
P0080842_1612,0
P0080842_1701,0.0689655172413793
P0080842_1703,0.0563380281690141
P0080842_1704,0.215909090909091
P0080842_1705,0.0568181818181818
P0080843_1611,0
P0080854_1611,0
P0080857_1702,0.0294117647058824
P0080858_1607,0
P0080867_1607,0
P0080880_1612,0.0232558139534884
P0080880_1702,0.181818181818182
P0090904_1610,0
P0090907_1701,0
P0111104_1611,0
P0111105_1701,0
P0111106_1611,0
P0121204_1612,0
P0121204_1701,0
P0121204_1703,0
P0121204_1704,0
P0121204_1705,0
